epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,2486.57,1.1181,0.86279,1.44558,0.93816,0.92891,0.98307,0.62144,1.33929,0.6616,1.72823,0.0014555,0.0014555,0.0014555
57,2529.13,1.12346,0.87123,1.46085,0.88852,0.976,0.97452,0.62404,1.26692,0.59617,1.70744,0.0014456,0.0014456,0.0014456
58,2574.65,1.12317,0.86806,1.45055,0.93973,0.95918,0.98174,0.626,1.32407,0.61806,1.72052,0.0014357,0.0014357,0.0014357
59,2617.22,1.092,0.84452,1.43099,0.94746,0.93878,0.97419,0.58571,1.36038,0.63507,1.79972,0.0014258,0.0014258,0.0014258
60,2661.01,1.11368,0.84226,1.45159,0.95534,0.93878,0.96911,0.63047,1.32467,0.61281,1.72402,0.0014159,0.0014159,0.0014159
61,2705.41,1.08531,0.8313,1.41737,0.97659,0.89796,0.97989,0.62602,1.31537,0.64578,1.74114,0.001406,0.001406,0.001406
62,2747.93,1.09955,0.83256,1.43444,0.89985,0.91689,0.90845,0.56241,1.51373,0.66901,2.12692,0.0013961,0.0013961,0.0013961
63,2794.02,1.09475,0.84409,1.42129,0.97163,0.93878,0.98061,0.61029,1.33628,0.59467,1.77556,0.0013862,0.0013862,0.0013862
64,2836.3,1.09944,0.84247,1.44621,0.92734,0.91837,0.9668,0.60661,1.37222,0.67408,1.73423,0.0013763,0.0013763,0.0013763
65,2880.83,1.07496,0.82001,1.41347,0.93625,0.93878,0.96413,0.64182,1.23368,0.64903,1.6597,0.0013664,0.0013664,0.0013664
66,2924.71,1.10586,0.83183,1.43228,0.9584,0.93878,0.98527,0.64866,1.32378,0.58358,1.76458,0.0013565,0.0013565,0.0013565
67,2968.34,1.07728,0.82809,1.42898,0.95398,0.91837,0.97044,0.58835,1.33468,0.62588,1.75879,0.0013466,0.0013466,0.0013466
68,3013.32,1.08353,0.81285,1.41918,0.91904,0.93878,0.97636,0.59911,1.34481,0.73099,1.7396,0.0013367,0.0013367,0.0013367
69,3055.75,1.08105,0.81643,1.42736,0.93434,0.89796,0.95044,0.60081,1.37162,0.69482,1.82891,0.0013268,0.0013268,0.0013268
70,3102.37,1.06834,0.79799,1.41208,0.93839,0.93257,0.98112,0.61009,1.35243,0.60179,1.78528,0.0013169,0.0013169,0.0013169
71,3144.87,1.07202,0.79245,1.41473,0.91378,0.95918,0.97908,0.60789,1.32284,0.61475,1.69924,0.001307,0.001307,0.001307
72,3188.77,1.07144,0.79512,1.41697,0.97911,0.95654,0.98846,0.60827,1.35102,0.57133,1.76073,0.0012971,0.0012971,0.0012971
73,3232.94,1.09893,0.79937,1.42929,0.84399,0.89796,0.92073,0.5618,1.46192,0.6519,1.90757,0.0012872,0.0012872,0.0012872
74,3275.59,1.05702,0.78251,1.39442,0.95802,0.93163,0.98203,0.61723,1.33196,0.62346,1.75298,0.0012773,0.0012773,0.0012773
75,3320.8,1.07456,0.77645,1.40657,0.91827,0.97959,0.97012,0.61019,1.39373,0.62028,1.84161,0.0012674,0.0012674,0.0012674
76,3363.83,1.0513,0.76898,1.39062,0.91951,0.97959,0.98221,0.62109,1.31301,0.57828,1.77785,0.0012575,0.0012575,0.0012575
77,3408.07,1.06941,0.78034,1.41434,0.94201,0.99472,0.98754,0.62531,1.29836,0.5479,1.72791,0.0012476,0.0012476,0.0012476
78,3451.68,1.04958,0.75659,1.40022,0.94218,0.91837,0.98,0.59298,1.34479,0.66183,1.79103,0.0012377,0.0012377,0.0012377
79,3494.3,1.04946,0.76657,1.38505,0.92307,0.97955,0.96306,0.6164,1.32678,0.57625,1.80066,0.0012278,0.0012278,0.0012278
80,3540.17,1.03072,0.74777,1.3822,0.93858,0.93564,0.98393,0.59744,1.35061,0.57043,1.75521,0.0012179,0.0012179,0.0012179
81,3582.58,1.04022,0.74398,1.3885,0.97646,0.84685,0.94425,0.59717,1.36806,0.606,1.82612,0.001208,0.001208,0.001208
82,3627.74,1.02145,0.75089,1.37418,0.92234,0.87755,0.95373,0.59634,1.34327,0.63251,1.76432,0.0011981,0.0011981,0.0011981
83,3670.57,1.03994,0.75802,1.39422,0.92885,0.91837,0.93594,0.61303,1.30258,0.60244,1.74597,0.0011882,0.0011882,0.0011882
84,3713.27,1.02572,0.73911,1.37839,0.93022,0.91837,0.96084,0.60481,1.2705,0.60359,1.7571,0.0011783,0.0011783,0.0011783
85,3758.4,1.0365,0.73178,1.38074,0.95822,0.93605,0.96861,0.6245,1.25074,0.55448,1.70745,0.0011684,0.0011684,0.0011684
86,3801.83,1.0237,0.74682,1.37027,0.93981,0.95918,0.96597,0.61691,1.30876,0.56889,1.71196,0.0011585,0.0011585,0.0011585
87,3845.59,1.01984,0.7376,1.3799,0.97869,0.93732,0.98632,0.62222,1.25223,0.62303,1.65089,0.0011486,0.0011486,0.0011486
88,3890.11,1.0048,0.70241,1.35204,0.94093,0.97529,0.96977,0.63072,1.26772,0.55951,1.66873,0.0011387,0.0011387,0.0011387
89,3933.17,1.00625,0.71261,1.35086,0.93851,0.95918,0.96529,0.64451,1.27356,0.54269,1.7528,0.0011288,0.0011288,0.0011288
90,3979.32,1.00878,0.73215,1.35731,0.94237,0.91837,0.97026,0.6285,1.31524,0.59026,1.74602,0.0011189,0.0011189,0.0011189
91,4022.15,0.99699,0.7287,1.36049,0.93866,0.93687,0.94921,0.6141,1.33363,0.57709,1.81149,0.001109,0.001109,0.001109
92,4066.04,1.01976,0.7243,1.36341,0.95339,0.95918,0.97468,0.65038,1.22569,0.52799,1.676,0.0010991,0.0010991,0.0010991
93,4110.64,1.00079,0.71085,1.35697,0.96154,0.93878,0.96856,0.62534,1.29764,0.56048,1.72187,0.0010892,0.0010892,0.0010892
94,4153.16,0.97857,0.6954,1.33949,0.95702,0.95918,0.97371,0.62568,1.25447,0.54365,1.71103,0.0010793,0.0010793,0.0010793
95,4199.71,0.99191,0.69106,1.35058,0.91867,0.93878,0.95429,0.57561,1.47873,0.60518,2.0098,0.0010694,0.0010694,0.0010694
96,4241.94,1.00063,0.70284,1.36093,0.95906,0.95628,0.96763,0.59959,1.37945,0.56618,1.81708,0.0010595,0.0010595,0.0010595
97,4285.48,1.00648,0.7194,1.37409,0.92141,0.95708,0.9709,0.60638,1.37961,0.56066,1.8083,0.0010496,0.0010496,0.0010496
98,4330.31,0.97991,0.69487,1.34372,0.95909,0.95689,0.97474,0.59241,1.35832,0.56093,1.82561,0.0010397,0.0010397,0.0010397
